,Date,BTC-USD,ETH-USD,LTC-USD,XRP-USD,DOGE-USD,MATIC-USD,LINK-USD,ADA-USD,BNB-USD,TRX-USD,DOT-USD,SOL-USD,ETH-BTC,LTC-BTC,XRP-BTC,DOGE-BTC,MATIC-BTC,LINK-BTC,ADA-BTC,BNB-BTC,TRX-BTC,DOT-BTC,SOL-BTC
34,2014-10-21,382.42099,0.0,3.9118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010229041036685774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2014-10-22,386.118011,0.0,3.94095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010206594584369181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2014-10-23,382.962006,0.0,3.84697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010045304598702148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2014-10-24,358.591003,0.0,3.73949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01042828729308638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2014-10-25,358.610992,0.0,3.74873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104534721010448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2014-10-26,347.487,0.0,3.66895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010558524491563713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2014-10-27,354.777008,0.0,3.72406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010496903452097436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2014-10-28,353.214996,0.0,3.81227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010793058174687464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2014-10-29,357.088989,0.0,3.85288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010789691417788298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2014-10-30,335.709015,0.0,3.7345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011124217203401583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2014-10-31,345.009003,0.0,3.78465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010969713738165842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2014-11-01,338.649994,0.0,3.75666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011093046114154074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2014-11-02,326.075012,0.0,3.57688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010969500478006575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2014-11-03,325.569,0.0,3.58591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011014285758164936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2014-11-04,327.161011,0.0,3.58042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010943907982971726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2014-11-05,330.683014,0.0,3.59031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010857255583136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2014-11-06,339.458008,0.0,3.64214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010729279952647339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2014-11-07,349.817993,0.0,3.64967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043305396815309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2014-11-08,342.153992,0.0,3.55665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010394880910815151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2014-11-09,345.376007,0.0,3.55484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010292666334520452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2014-11-10,362.265015,0.0,3.63216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010026251085824557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2014-11-11,365.856995,0.0,3.69851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010109168474419904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2014-11-12,367.984985,0.0,3.67973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999674307363383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2014-11-13,427.27301,0.0,4.13299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009672948918538057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2014-11-14,418.416992,0.0,4.0855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009764182808331072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2014-11-15,399.649994,0.0,3.99226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009989390866849357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2014-11-16,374.730011,0.0,3.84119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01025055343112084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2014-11-17,388.348999,0.0,3.88056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099924552657338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2014-11-18,387.785004,0.0,3.87515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00999303727588187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2014-11-19,373.895996,0.0,3.77996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010109656269226268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2014-11-20,380.307007,0.0,3.80696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010010228394240447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2014-11-21,357.878998,0.0,3.6143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010099223537001184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2014-11-22,351.604004,0.0,3.50114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009957622666890905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2014-11-23,353.174988,0.0,3.52278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009974602165202028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2014-11-24,366.947998,0.0,3.59464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009796047449753358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2014-11-25,376.885986,0.0,3.62498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009618240355585946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2014-11-26,376.019012,0.0,3.56891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009491301998314916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2014-11-27,370.502014,0.0,3.56507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009622268881917603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2014-11-28,369.373993,0.0,3.56079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009640066890145132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2014-11-29,376.152008,0.0,3.60471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009583120449539111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2014-11-30,375.51001,0.0,3.58596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009549572326980045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2014-12-01,378.248993,0.0,3.57559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009453005999146176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2014-12-02,379.25,0.0,3.57799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009434383651944628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
